n: 100, czas: 0.000036, swapy: 2443, porownania: 2543
n: 200, czas: 0.000146, swapy: 10364, porownania: 10564
n: 300, czas: 0.000357, swapy: 22637, porownania: 22937
n: 400, czas: 0.000583, swapy: 41197, porownania: 41597
n: 500, czas: 0.000929, swapy: 60374, porownania: 60874
n: 600, czas: 0.001431, swapy: 95009, porownania: 95609
n: 700, czas: 0.001800, swapy: 124721, porownania: 125421
n: 800, czas: 0.002675, swapy: 161934, porownania: 162734
n: 900, czas: 0.002871, swapy: 194457, porownania: 195357
n: 1000, czas: 0.003392, swapy: 240855, porownania: 241855
n: 1100, czas: 0.004373, swapy: 302865, porownania: 303965
n: 1200, czas: 0.005160, swapy: 358546, porownania: 359746
n: 1300, czas: 0.005925, swapy: 412775, porownania: 414075
n: 1400, czas: 0.007254, swapy: 495996, porownania: 497396
n: 1500, czas: 0.007890, swapy: 561449, porownania: 562949
n: 1600, czas: 0.008974, swapy: 630497, porownania: 632097
n: 1700, czas: 0.010195, swapy: 716868, porownania: 718568
n: 1800, czas: 0.011594, swapy: 805686, porownania: 807486
n: 1900, czas: 0.012907, swapy: 890297, porownania: 892197
n: 2000, czas: 0.014049, swapy: 985091, porownania: 987091
n: 2100, czas: 0.015670, swapy: 1110181, porownania: 1112281
n: 2200, czas: 0.017845, swapy: 1229470, porownania: 1231670
n: 2300, czas: 0.018238, swapy: 1297300, porownania: 1299600
n: 2400, czas: 0.020143, swapy: 1430438, porownania: 1432838
n: 2500, czas: 0.021206, swapy: 1582979, porownania: 1585479
n: 2600, czas: 0.023350, swapy: 1672843, porownania: 1675443
n: 2700, czas: 0.025559, swapy: 1817722, porownania: 1820422
n: 2800, czas: 0.027402, swapy: 1946575, porownania: 1949375
n: 2900, czas: 0.029832, swapy: 2123340, porownania: 2126240
n: 3000, czas: 0.031851, swapy: 2279053, porownania: 2282053
n: 3100, czas: 0.033904, swapy: 2415097, porownania: 2418197
n: 3200, czas: 0.035873, swapy: 2528603, porownania: 2531803
n: 3300, czas: 0.038091, swapy: 2706112, porownania: 2709412
n: 3400, czas: 0.040971, swapy: 2908906, porownania: 2912306
n: 3500, czas: 0.047203, swapy: 3053232, porownania: 3056732
n: 3600, czas: 0.045830, swapy: 3239396, porownania: 3242996
n: 3700, czas: 0.048024, swapy: 3406687, porownania: 3410387
n: 3800, czas: 0.051673, swapy: 3609969, porownania: 3613769
n: 3900, czas: 0.053654, swapy: 3806817, porownania: 3810717
n: 4000, czas: 0.055547, swapy: 3944020, porownania: 3948020
n: 4100, czas: 0.059455, swapy: 4204873, porownania: 4208973
n: 4200, czas: 0.062156, swapy: 4395053, porownania: 4399253
n: 4300, czas: 0.063928, swapy: 4556031, porownania: 4560331
n: 4400, czas: 0.068580, swapy: 4833089, porownania: 4837489
n: 4500, czas: 0.071874, swapy: 5057397, porownania: 5061897
n: 4600, czas: 0.075163, swapy: 5260098, porownania: 5264698
n: 4700, czas: 0.078017, swapy: 5536819, porownania: 5541519
n: 4800, czas: 0.081736, swapy: 5787055, porownania: 5791855
n: 4900, czas: 0.083727, swapy: 5964867, porownania: 5969767
n: 5000, czas: 0.087565, swapy: 6322236, porownania: 6327236
n: 5100, czas: 0.091828, swapy: 6464679, porownania: 6469779
n: 5200, czas: 0.095463, swapy: 6749203, porownania: 6754403
n: 5300, czas: 0.098855, swapy: 7045418, porownania: 7050718
n: 5400, czas: 0.102904, swapy: 7322634, porownania: 7328034
n: 5500, czas: 0.107929, swapy: 7671022, porownania: 7676522
n: 5600, czas: 0.115057, swapy: 7815864, porownania: 7821464
n: 5700, czas: 0.116164, swapy: 8233677, porownania: 8239377
n: 5800, czas: 0.118649, swapy: 8421491, porownania: 8427291
n: 5900, czas: 0.125622, swapy: 8920428, porownania: 8926328
n: 6000, czas: 0.127473, swapy: 9042431, porownania: 9048431
n: 6100, czas: 0.129919, swapy: 9234398, porownania: 9240498
n: 6200, czas: 0.134112, swapy: 9532805, porownania: 9539005
n: 6300, czas: 0.140407, swapy: 9863884, porownania: 9870184
n: 6400, czas: 0.148875, swapy: 10518744, porownania: 10525144
n: 6500, czas: 0.148151, swapy: 10485322, porownania: 10491822
n: 6600, czas: 0.155158, swapy: 10872446, porownania: 10879046
n: 6700, czas: 0.158031, swapy: 11237554, porownania: 11244254
n: 6800, czas: 0.163042, swapy: 11583887, porownania: 11590687
n: 6900, czas: 0.169359, swapy: 11978075, porownania: 11984975
n: 7000, czas: 0.171586, swapy: 12200686, porownania: 12207686
n: 7100, czas: 0.178064, swapy: 12573198, porownania: 12580298
n: 7200, czas: 0.182829, swapy: 12996903, porownania: 13004103
n: 7300, czas: 0.189443, swapy: 13253530, porownania: 13260830
n: 7400, czas: 0.200673, swapy: 13603002, porownania: 13610402
n: 7500, czas: 0.206856, swapy: 13873562, porownania: 13881062
n: 7600, czas: 0.205406, swapy: 14422893, porownania: 14430493
n: 7700, czas: 0.213053, swapy: 14794919, porownania: 14802619
n: 7800, czas: 0.216173, swapy: 15161855, porownania: 15169655
n: 7900, czas: 0.227667, swapy: 15720484, porownania: 15728384
n: 8000, czas: 0.237035, swapy: 16002453, porownania: 16010453
n: 8100, czas: 0.239557, swapy: 16360562, porownania: 16368662
n: 8200, czas: 0.240631, swapy: 16862901, porownania: 16871101
n: 8300, czas: 0.253438, swapy: 17319648, porownania: 17327948
n: 8400, czas: 0.249495, swapy: 17553274, porownania: 17561674
n: 8500, czas: 0.259775, swapy: 18080799, porownania: 18089299
n: 8600, czas: 0.289889, swapy: 18660777, porownania: 18669377
n: 8700, czas: 0.269156, swapy: 18926889, porownania: 18935589
n: 8800, czas: 0.301158, swapy: 19321019, porownania: 19329819
n: 8900, czas: 0.306672, swapy: 19830468, porownania: 19839368
n: 9000, czas: 0.289923, swapy: 20260901, porownania: 20269901
n: 9100, czas: 0.299374, swapy: 20730673, porownania: 20739773
n: 9200, czas: 0.311765, swapy: 21352525, porownania: 21361725
n: 9300, czas: 0.304963, swapy: 21527337, porownania: 21536637
n: 9400, czas: 0.316117, swapy: 22335936, porownania: 22345336
n: 9500, czas: 0.329252, swapy: 22507337, porownania: 22516837
n: 9600, czas: 0.326667, swapy: 22987795, porownania: 22997395
n: 9700, czas: 0.336977, swapy: 23671031, porownania: 23680731
n: 9800, czas: 0.339146, swapy: 23895544, porownania: 23905344
n: 9900, czas: 0.346263, swapy: 24387767, porownania: 24397667
n: 10000, czas: 0.367313, swapy: 25161997, porownania: 25171997
