n: 100, czas: 0.000025, swapy: 267, porownania: 537
n: 200, czas: 0.000053, swapy: 650, porownania: 1285
n: 300, czas: 0.000086, swapy: 1068, porownania: 2085
n: 400, czas: 0.000116, swapy: 1532, porownania: 2965
n: 500, czas: 0.000149, swapy: 1959, porownania: 3852
n: 600, czas: 0.000196, swapy: 2466, porownania: 4781
n: 700, czas: 0.000217, swapy: 2966, porownania: 5757
n: 800, czas: 0.000274, swapy: 3415, porownania: 6715
n: 900, czas: 0.000292, swapy: 3887, porownania: 7715
n: 1000, czas: 0.000325, swapy: 4363, porownania: 8664
n: 1100, czas: 0.000364, swapy: 4978, porownania: 9755
n: 1200, czas: 0.000411, swapy: 5490, porownania: 10780
n: 1300, czas: 0.000473, swapy: 6072, porownania: 11828
n: 1400, czas: 0.000498, swapy: 6623, porownania: 12902
n: 1500, czas: 0.000530, swapy: 7158, porownania: 14005
n: 1600, czas: 0.000571, swapy: 7635, porownania: 15046
n: 1700, czas: 0.000827, swapy: 8301, porownania: 16169
n: 1800, czas: 0.000648, swapy: 8797, porownania: 17217
n: 1900, czas: 0.000718, swapy: 9310, porownania: 18298
n: 2000, czas: 0.000729, swapy: 9751, porownania: 19329
n: 2100, czas: 0.000767, swapy: 10434, porownania: 20562
n: 2200, czas: 0.000874, swapy: 11040, porownania: 21665
n: 2300, czas: 0.000947, swapy: 11615, porownania: 22765
n: 2400, czas: 0.000947, swapy: 12268, porownania: 23985
n: 2500, czas: 0.000987, swapy: 12747, porownania: 25083
n: 2600, czas: 0.001038, swapy: 13422, porownania: 26240
n: 2700, czas: 0.001102, swapy: 14007, porownania: 27432
n: 2800, czas: 0.001411, swapy: 14638, porownania: 28589
n: 2900, czas: 0.001772, swapy: 15086, porownania: 29717
n: 3000, czas: 0.000936, swapy: 15782, porownania: 30958
n: 3100, czas: 0.000966, swapy: 16257, porownania: 32080
n: 3200, czas: 0.001021, swapy: 16949, porownania: 33320
n: 3300, czas: 0.001087, swapy: 17526, porownania: 34429
n: 3400, czas: 0.001082, swapy: 18123, porownania: 35636
n: 3500, czas: 0.001109, swapy: 18775, porownania: 36858
n: 3600, czas: 0.001195, swapy: 19136, porownania: 37965
n: 3700, czas: 0.001195, swapy: 19874, porownania: 39262
n: 3800, czas: 0.001301, swapy: 20470, porownania: 40414
n: 3900, czas: 0.001449, swapy: 21097, porownania: 41623
n: 4000, czas: 0.001635, swapy: 21515, porownania: 42764
n: 4100, czas: 0.002883, swapy: 22065, porownania: 44068
n: 4200, czas: 0.001392, swapy: 22903, porownania: 45263
n: 4300, czas: 0.001832, swapy: 23589, porownania: 46424
n: 4400, czas: 0.003099, swapy: 24206, porownania: 47780
n: 4500, czas: 0.001657, swapy: 24802, porownania: 48873
n: 4600, czas: 0.001805, swapy: 25556, porownania: 50210
n: 4700, czas: 0.001579, swapy: 26177, porownania: 51446
n: 4800, czas: 0.001604, swapy: 26914, porownania: 52782
n: 4900, czas: 0.001614, swapy: 27483, porownania: 53875
n: 5000, czas: 0.001754, swapy: 28207, porownania: 55227
n: 5100, czas: 0.001689, swapy: 28663, porownania: 56477
n: 5200, czas: 0.002022, swapy: 29364, porownania: 57734
n: 5300, czas: 0.001859, swapy: 30066, porownania: 58918
n: 5400, czas: 0.001839, swapy: 30761, porownania: 60251
n: 5500, czas: 0.001844, swapy: 31338, porownania: 61534
n: 5600, czas: 0.001937, swapy: 32088, porownania: 62787
n: 5700, czas: 0.001906, swapy: 32732, porownania: 64059
n: 5800, czas: 0.001998, swapy: 33375, porownania: 65309
n: 5900, czas: 0.002008, swapy: 33959, porownania: 66610
n: 6000, czas: 0.002054, swapy: 34486, porownania: 67869
n: 6100, czas: 0.002079, swapy: 35020, porownania: 69157
n: 6200, czas: 0.002088, swapy: 35559, porownania: 70370
n: 6300, czas: 0.002174, swapy: 36433, porownania: 71731
n: 6400, czas: 0.002185, swapy: 37102, porownania: 73059
n: 6500, czas: 0.002272, swapy: 37876, porownania: 74268
n: 6600, czas: 0.002258, swapy: 38460, porownania: 75546
n: 6700, czas: 0.002302, swapy: 38957, porownania: 76739
n: 6800, czas: 0.002343, swapy: 39883, porownania: 78152
n: 6900, czas: 0.002381, swapy: 40398, porownania: 79418
n: 7000, czas: 0.002418, swapy: 41090, porownania: 80684
n: 7100, czas: 0.002438, swapy: 41585, porownania: 82018
n: 7200, czas: 0.002473, swapy: 41934, porownania: 83201
n: 7300, czas: 0.002528, swapy: 42904, porownania: 84577
n: 7400, czas: 0.002613, swapy: 43566, porownania: 85943
n: 7500, czas: 0.002806, swapy: 44126, porownania: 87161
n: 7600, czas: 0.002696, swapy: 44659, porownania: 88420
n: 7700, czas: 0.002676, swapy: 45409, porownania: 89743
n: 7800, czas: 0.002926, swapy: 45944, porownania: 91033
n: 7900, czas: 0.002807, swapy: 46613, porownania: 92414
n: 8000, czas: 0.002831, swapy: 47186, porownania: 93684
n: 8100, czas: 0.002824, swapy: 47651, porownania: 95012
n: 8200, czas: 0.003142, swapy: 48235, porownania: 96312
n: 8300, czas: 0.002974, swapy: 48998, porownania: 97573
n: 8400, czas: 0.003007, swapy: 49873, porownania: 98992
n: 8500, czas: 0.003055, swapy: 50659, porownania: 100272
n: 8600, czas: 0.003295, swapy: 51441, porownania: 101605
n: 8700, czas: 0.003219, swapy: 52169, porownania: 103074
n: 8800, czas: 0.003131, swapy: 52954, porownania: 104293
n: 8900, czas: 0.003143, swapy: 53668, porownania: 105676
n: 9000, czas: 0.003245, swapy: 54301, porownania: 107030
n: 9100, czas: 0.003253, swapy: 55024, porownania: 108323
n: 9200, czas: 0.003275, swapy: 55690, porownania: 109639
n: 9300, czas: 0.003298, swapy: 56446, porownania: 111101
n: 9400, czas: 0.003552, swapy: 57218, porownania: 112280
n: 9500, czas: 0.003392, swapy: 57805, porownania: 113637
n: 9600, czas: 0.003488, swapy: 58419, porownania: 115067
n: 9700, czas: 0.003775, swapy: 59378, porownania: 116432
n: 9800, czas: 0.003950, swapy: 59851, porownania: 117755
n: 9900, czas: 0.003824, swapy: 60691, porownania: 119168
n: 10000, czas: 0.003644, swapy: 61174, porownania: 120414
