n: 100, czas: 0.000017, swapy: 434, porownania: 663
n: 200, czas: 0.000046, swapy: 931, porownania: 1525
n: 300, czas: 0.000053, swapy: 1284, porownania: 2474
n: 400, czas: 0.000086, swapy: 2268, porownania: 3740
n: 500, czas: 0.000106, swapy: 2709, porownania: 4853
n: 600, czas: 0.000151, swapy: 3674, porownania: 5949
n: 700, czas: 0.000147, swapy: 3621, porownania: 7302
n: 800, czas: 0.000175, swapy: 4216, porownania: 9130
n: 900, czas: 0.000423, swapy: 5781, porownania: 10388
n: 1000, czas: 0.000488, swapy: 5679, porownania: 10547
n: 1100, czas: 0.000254, swapy: 6417, porownania: 12793
n: 1200, czas: 0.000314, swapy: 7237, porownania: 13518
n: 1300, czas: 0.000325, swapy: 8285, porownania: 14542
n: 1400, czas: 0.000344, swapy: 8911, porownania: 16121
n: 1500, czas: 0.000409, swapy: 9881, porownania: 17381
n: 1600, czas: 0.000408, swapy: 11337, porownania: 17645
n: 1700, czas: 0.000410, swapy: 9731, porownania: 20320
n: 1800, czas: 0.000511, swapy: 14076, porownania: 24724
n: 1900, czas: 0.000514, swapy: 13275, porownania: 24134
n: 2000, czas: 0.000507, swapy: 12589, porownania: 23980
n: 2100, czas: 0.000562, swapy: 14399, porownania: 26817
n: 2200, czas: 0.000585, swapy: 15115, porownania: 27995
n: 2300, czas: 0.000620, swapy: 16508, porownania: 29944
n: 2400, czas: 0.000709, swapy: 16026, porownania: 29847
n: 2500, czas: 0.000653, swapy: 16014, porownania: 30553
n: 2600, czas: 0.000664, swapy: 15789, porownania: 34035
n: 2700, czas: 0.000698, swapy: 16768, porownania: 35827
n: 2800, czas: 0.000769, swapy: 19516, porownania: 36811
n: 2900, czas: 0.000852, swapy: 22606, porownania: 40340
n: 3000, czas: 0.000855, swapy: 20591, porownania: 38883
n: 3100, czas: 0.000846, swapy: 21120, porownania: 43167
n: 3200, czas: 0.000887, swapy: 22415, porownania: 40181
n: 3300, czas: 0.000967, swapy: 25166, porownania: 43046
n: 3400, czas: 0.001062, swapy: 29879, porownania: 46187
n: 3500, czas: 0.000997, swapy: 26465, porownania: 48722
n: 3600, czas: 0.000974, swapy: 25593, porownania: 45750
n: 3700, czas: 0.001203, swapy: 31829, porownania: 50383
